State,Infected County,WNV incidence,Species Richness,Corvid Abundance
MD,"Calvert, MD                     ",0,65,47
MD,"Harford, MD                     ",0,61,63
MD,"Carroll, MD                     ",0,74,220
WV,"Jefferson, WV                   ",0,65,70
NH,"Rockingham, NH                  ",0,61,42
NH,"Hillsborough, NH                ",0,51,36
MA,"Hampshire, MA                   ",-7.31,93,101
MI,"Berrien, MI                     ",0,42,106
MI,"Calhoun, MI                     ",0,63,53
MI,"Tuscola, MI                     ",0,68,69
AL,"Sumter, AL                      ",0,58,73.77160494
NJ,"Atlantic, NJ                    ",0,68,79
NJ,"Somerset, NJ                    ",0,61,58
NY,"Tioga, NY                       ",0,56,49
NY,"Franklin, NY                    ",0,60,32
NY,"Cattaraugus, NY                 ",0,81,124
NY,"Seneca, NY                      ",0,66,50
OH,"Morrow, OH                      ",0,53,38
OH,"Pike, OH                        ",0,49,22
PA,"Butler, PA                      ",0,68,23
PA,"Crawford, PA                    ",0,72,61
PA,"Fulton, PA                      ",0,76,76
PA,"Chester, PA                     ",0,57,42
PA,"Tioga, PA                       ",0,76,59
PA,"Bucks, PA                       ",0,55,72
PA,"Fayette, PA                     ",0,76,46
TN,"Fayette, TN                     ",0,56,67
TN,"Macon, TN                       ",0,73,57
WV,"Kanawha, WV                     ",0,59,48
WV,"Ritchie, WV                     ",0,73,36
WI,"Juneau, WI                      ",0,57,48
WI,"Taylor, WI                      ",0,90,185
WI,"Rock, WI                        ",-0.3454,50,66
WI,"Oneida, WI                      ",0,73,63
WI,"Sheboygan, WI                   ",0,64,59
WI,"Oconto, WI                      ",0,78,105
WI,"Green Lake, WI                  ",0,75,111
WI,"Walworth, WI                    ",0,61,43
WI,"Chippewa, WI                    ",0,80,57
WI,"Iowa, WI                        ",0,59,49
WI,"Fond du Lac, WI                 ",0,69,82
